0,1,2
0.501658,0.620587,0.974222
0.649056,0.491833,1.111200
0.347782,0.494833,0.962341
0.429956,0.449119,1.028589
0.735706,0.407172,1.677933
0.503761,0.423043,0.959651
0.363949,0.432962,0.999640
0.565359,0.335706,1.222146
0.526675,0.436191,1.066619
0.319615,0.414380,1.018889
0.541327,0.464813,0.950148
0.507246,0.416138,1.032252
0.566903,0.517716,0.964503
0.458063,0.596628,1.069329
0.664561,0.600061,1.107780
0.354986,0.448254,1.039095
0.482349,0.544468,1.004378
0.482127,0.413305,0.928793
0.395177,0.406264,1.190636
0.508825,0.630568,1.015637
0.576197,0.474936,0.982965
0.602091,0.406430,1.277066
0.293270,0.487990,1.042008
0.457011,0.470562,1.061745
0.452754,0.748628,1.583936
0.607463,0.451400,1.026884
0.479528,0.436404,0.969393
0.230418,0.474253,1.093578
0.610221,0.448223,1.023222
0.421372,0.609649,1.014428
0.612410,0.547697,1.001958
0.435602,0.428166,1.075952
0.542090,0.626379,0.984920
0.394705,0.644374,1.128924
0.500060,0.622502,0.969769
0.497062,0.565404,0.948884
0.521655,0.320676,1.067569
0.561765,0.528288,0.967704
0.501364,0.494222,1.222565
0.492552,0.367873,1.049412
0.533044,0.586470,1.259999
0.614068,0.509085,0.984601
0.459354,0.657166,1.222420
0.538217,0.405301,0.953846
0.283879,0.462617,1.100431
0.422416,0.309073,1.560448
0.397686,0.675279,1.132948
0.456742,0.432230,1.061180
0.508762,0.622382,1.033961
0.643280,0.615264,1.055792
0.542213,0.562161,1.132165
0.617236,0.643538,1.075020
0.544367,0.399909,1.017665
0.425830,0.548657,1.048174
0.260217,0.559450,1.240703
0.491894,0.544076,1.030733
0.334172,0.556982,1.052565
0.692833,0.402933,1.520297
0.584028,0.478128,0.986789
0.339115,0.678922,1.265660
0.572616,0.573667,1.083244
0.503786,0.535271,0.948884
0.571647,0.668033,1.304576
0.529661,0.348968,1.023741
0.380970,0.481997,1.028532
0.448297,0.411009,0.979919
0.486249,0.491282,1.068511
0.510306,0.380869,1.067689
0.581202,0.593266,1.120458
0.552438,0.354961,1.033223
0.422217,0.677677,0.963429
0.399803,0.552660,0.995272
0.698856,0.469980,1.336869
0.490956,0.450795,0.963842
0.667418,0.572554,1.142579
0.507882,0.557294,1.005003
0.478604,0.587550,1.177596
0.598045,0.508237,0.985375
0.518558,0.457949,1.020583
0.411968,0.384259,1.037303
0.437786,0.368239,1.078841
0.499029,0.657258,0.994798
0.578435,0.600931,1.083737
0.307989,0.473953,0.975793
0.461320,0.559735,1.063226
0.211648,0.474502,1.115993
0.589375,0.469998,0.971793
0.551143,0.528216,1.219323
0.635455,0.506710,0.998628
0.432840,0.519438,1.172243
0.483836,0.550282,0.992833
0.377083,0.541744,1.096376
0.454241,0.385181,1.152374
